id,Background,One,Two,Three,Four,Five,Six
1,Acolyte,I would die to recover an ancient relic of my faith that was lost long ago.,I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.,I owe my life to the priest who took me in when my parents died.,Everything I do is for the common people.,I will do anything to protect the temple where I served.,I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.
2,Charlatan,I fleeced the wrong person and must work to ensure that this individual never crosses paths with me or those I care about.,I owe everything to my mentor - a horrible person who's probably rotting in jail somewhere.,Somewhere out there: I have a child who doesn't know me. I'm making the world better for him or her.,I come from a noble family: and one day I'll reclaim my lands and title from those who stole them from me.,A powerful person killed someone I love. Some day soon: I'll have my revenge.,I swindled and ruined a person who didn't deserve it. I seek to atone for my misdeeds but might never be able to forgive myself.
3,Criminal,I'm trying to pay off an old debt I owe to a generous benefactor.,My ill-gotten gains go to support my family.,Something important was taken from me: and I aim to steal it back.,I will become the greatest thief that ever live.,I'm guilty of a terrible crime. I hope I can redeem myself for it.,Someone I loved died because of a mistake I made. That will never happen again.
4,Entertainer,My instrument is my most treasured possession: and it reminds me of someone I love.,Someone stole my precious instrument: and someday I'll get it back.,I want to be famous: whatever it takes.,I idolize a hero of the old tales and measure my deeds against that person's.,I will do anything to prove myself superior to my hated rival.,I would do anything for the other members of my old troupe.
5,Folk Hero,I have a family: but I have no idea where they are. One day: I hope to see them again.,I worked the land: I love the land: and I will protect the land.,A proud noble once gave me a horrible beating: and I will take my revenge on any bully I encounter.,My tools are symbols of my past life: and I carry them so that I wll never forget my roots.,I protect those who cannot protect themselves.,I wish my childhood sweetheart had come with me to pursue my destiny.
6,Guild Artisan,The workshop where I learned my trade is the most important place in the world to me.,I created a great work for someone: and then found them unworthy to receive it. I'm still looking for someone worthy.,I owe my guild a great debt for forging me into the person I am today.,I pursue wealth to secure someone's love.,One day I will return to my guild and prove that I am the greatest artisan of them all.,I will get revenge on the evil forces that destroyed my place of business and ruined my livelihood.
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
