id,Background,One,Two,Three,Four,Five,Six
1,Acolyte,The ancient traditions of worship and sacrifice must be preserved and upheld.,I always try to help those in need: no matter what the personal cost.,We must help bring about the changes the gods are constantly working in the world.,I hope to one day rise to the top of my faith's religious hierarchy.,I trust that my deity will guide my actions. I have faith that if I work hard: things will go well.,I seek to prove myself worthy of my god's favor by matching my actions against his or her teachings.
2,Charlatan,I am a free spirit - no one tells me what to do.,I never target people who can't afford to lose a few coins.,I distribute the money I acquire to the people who really need it.,I never run the same con twice.,Material goods come and go. Bonds of friendship last forever.,I'm determined to make something of myself.
3,Criminal,I don't steal from others in the trade.,Chains are meant to be broken: as are those who would forge them.,I steal from the wealthy so that I can help people in need.,I will do whatever it takes to become wealthy.,I'm loyal to my friends: not to any ideals: and everyone else can take a trip down the Styx for all I care.,There's a spark of good in everyone.
4,Entertainer,When I perform: I make the world better than it was.,The stories: legends: and songs of the past must never be forgotten: for they teach us who we are.,The world is in need of new ideas and bold actions.,I'm only in it for the money and fame.,I like seeing the smiles on people's faces when I perform. That's all that matters.,Art should reflect the soul; it should come from within and reveal who we really are.
5,Folk Hero,People deserve to be treated with dignity and respect.,No one should get preferential treatment before the law: and no one is above the law.,Tyrants must not be allowed to oppress the people.,If I become strong: I can take what I want - what I deserve.,There's no good in pretending to be something I'm not.,Nothing and no one can steer me away from my higher calling.
6,Guild Artisan,It is the duty of all civilized people to strengthn the bodns of community and the security of civilization.,My talents were given to me so that I could use them to benefit the world.,Everyone should be free to pursue his or her own livelihood.,I'm only in it for the money.,I'm committed to the people I care about: not to ideals.,I work hard to be the best there is at my craft.
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
